"","text","favoriteCount","replyToSN","screenName","retweetCount","date.stamp","weekday"
"723"," It�s gonna be epic. <ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",1,"MissiMiss206","budlight",0,2017-10-02 00:10:23,"Mon"
"724"," Nothing like an OT win! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"AllAzAshley8843","budlight",0,2017-10-02 00:01:23,"Mon"
"725"," It�s gonna be epic. WeAre12",1,"GJohal1234","budlight",1,2017-10-01 23:59:07,"Sun"
"726"," Here�s to a great win! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"Meg4MJ","budlight",0,2017-10-01 23:56:46,"Sun"
"727"," We'll cheers to that! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"Wentzadelphia11","budlight",0,2017-10-01 23:33:46,"Sun"
"728"," Here�s to a great win! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",0,"3oh3paromero","budlight",0,2017-10-01 23:28:43,"Sun"
"729"," That deserves a cold one. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",1,"FishSTL","budlight",0,2017-10-01 23:26:38,"Sun"
"730"," Here�s to an epic win! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"LJmaximo","budlight",0,2017-10-01 23:25:26,"Sun"
"731"," That pick was <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>.",0,"Nicole80017","budlight",0,2017-10-01 23:23:55,"Sun"
"732"," Repeat next week for the win? <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> GoPats",1,"beachbumburkey","budlight",0,2017-10-01 23:23:44,"Sun"
"733"," Right there with you. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA><ed><U+00A0><U+00BC><ed><U+00BF><U+0088> GoPats",0,"LTIBusiness","budlight",0,2017-10-01 23:22:56,"Sun"
"734"," That's dedication! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB> ChiefsKingdom",2,"chiefsstl","budlight",0,2017-10-01 23:21:31,"Sun"
"735"," This game is keeping us on the edge of our seats!",1,"lakeju1","budlight",0,2017-10-01 23:21:00,"Sun"
"736"," Here�s to an epic win.<ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"CrewsOnTheRadio","budlight",0,2017-10-01 23:18:17,"Sun"
"737"," We�ll cheers to that! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"LyricMoney","budlight",0,2017-10-01 23:14:45,"Sun"
"738"," That W deserves a cold one. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"SaRule21","budlight",0,2017-10-01 23:13:30,"Sun"
"739"," This game is keeping us on the edge of our seats!",0,"BWipps","budlight",0,2017-10-01 23:02:35,"Sun"
"740"," We'll DillyDilly to that! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"the_fabgab","budlight",0,2017-10-01 23:01:32,"Sun"
"741"," We'll get 'em next week! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"taylorjohnston4","budlight",0,2017-10-01 23:00:44,"Sun"
"742"," Challenge accepted.",0,"benjosephson","budlight",0,2017-10-01 22:57:59,"Sun"
"743"," Dilly, dilly to you sir! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"OriginalBuc","budlight",0,2017-10-01 22:55:23,"Sun"
"744"," How about a Bud Light? �\_(<U+30C4>)_/�",1,"cflood03","budlight",0,2017-10-01 22:54:56,"Sun"
"745"," We�ll cheers to that! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"Taggsy79","budlight",0,2017-10-01 22:50:05,"Sun"
"746"," Get a cold one ready for the comeback! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",0,"mbrown1902","budlight",0,2017-10-01 22:27:43,"Sun"
"747"," Here�s a cold one for the comeback. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",1,"Lmanches","budlight",0,2017-10-01 22:24:52,"Sun"
"748"," They�re looking good so far. <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B0><U+00B4>",1,"Dirty_Indian","budlight",1,2017-10-01 22:22:04,"Sun"
"749"," That�s a touchdown worth celebrating! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"Sweet_Tay94","budlight",0,2017-10-01 22:12:11,"Sun"
"750"," We'll drink to that. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",0,"JaxBivens","budlight",1,2017-10-01 22:07:54,"Sun"
"751"," Oh, it is a thing. DillyDilly",0,"jaredalutz","budlight",0,2017-10-01 17:27:42,"Sun"
"752"," Sorry 'bout ya! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> DillyDilly",3,"Raulr1973","budlight",0,2017-10-01 17:27:22,"Sun"
"753"," DillyDilly! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",3,"Lifeof_Schneids","budlight",0,2017-10-01 17:25:55,"Sun"
"754"," Whatever you want it to be. <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>",1,"Dylrae","budlight",1,2017-10-01 17:25:37,"Sun"
"755"," ",2,"Bryan_McGrath","budlight",1,2017-10-01 17:25:12,"Sun"
"756"," Make that stadium shake!",0,"smanderson85","budlight",0,2017-10-01 17:23:55,"Sun"
"757"," Fire out back with some Bud Light. That's FamousAmongFriends.",1,"TheRealRuskie","budlight",0,2017-10-01 03:12:31,"Sun"
"758"," Looks like a perfect night for baseball! <U+26BE><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"SthrnGirl_Tex","budlight",1,2017-10-01 02:57:48,"Sun"
"759"," We're ready for some FOOOOTBALLLL! <ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",0,"BUCdUpG8R","budlight",0,2017-10-01 02:56:18,"Sun"
"760"," They always do. <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>",1,"tboogs3","budlight",0,2017-10-01 02:54:48,"Sun"
"761"," Goals. <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>",5,"TheJayLow50","budlight",1,2017-10-01 02:54:23,"Sun"
"762"," You're a true fan.",1,"Brose141","budlight",1,2017-09-30 23:00:15,"Sat"
"763"," We're in! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>",2,"AngiMiller13","budlight",0,2017-09-30 22:48:18,"Sat"
"764"," It's so beautiful.",7,"LeeroyGracia91","budlight",1,2017-09-30 22:46:42,"Sat"
"765"," ",1,"C_Aarone","budlight",0,2017-09-30 22:45:52,"Sat"
"766"," At least we can all agree on the Bud Light. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",0,"xspike21","budlight",0,2017-09-30 19:39:09,"Sat"
"767"," Nothin' better.",2,"R3PUTATIONKILLA","budlight",1,2017-09-30 18:38:51,"Sat"
"768"," Keep 'em cold! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"rawhidevelvet","budlight",0,2017-09-30 18:34:06,"Sat"
"769"," Dilly, dilly! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"SpredfastSturk","budlight",0,2017-09-30 01:43:22,"Sat"
"770"," Ahhhhhhhhhh.",1,"BettyJSweets","budlight",0,2017-09-30 01:42:07,"Sat"
"771"," We're cool with that. DillyDilly <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"TheBlakeford","budlight",1,2017-09-30 01:39:51,"Sat"
"772"," You're doing it right! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",0,"BudLightEllen","budlight",0,2017-09-29 23:39:51,"Fri"
"773"," They are, Chris. Contact your local wholesaler ( to find out where they are available.",0,"therealcdigs327","budlight",0,2017-09-29 20:14:03,"Fri"
"774"," We have 36-packs!",0,"therealcdigs327","budlight",0,2017-09-29 20:01:54,"Fri"
"775"," We aren't complaining. �\_(<U+30C4>)_/�",1,"RealKingShady","budlight",0,2017-09-29 19:56:09,"Fri"
"776"," You know it! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"TracyH705","budlight",0,2017-09-29 19:55:07,"Fri"
"777"," We love that blue. <ed><U+00A0><U+00BD><ed><U+00B2><U+0099>",1,"morales_photos","budlight",0,2017-09-29 19:54:26,"Fri"
"778","  Congratulations. <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>",2,"Kmjinright","budlight",2,2017-09-29 17:11:09,"Fri"
"779"," We're with ya. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",0,"JakeyyCass","budlight",0,2017-09-29 01:46:27,"Fri"
"780"," What. A. View. <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>",1,"Jon1ch1","budlight",0,2017-09-29 01:44:32,"Fri"
"781"," In the city where each team plays. Or check out our NFL 36-pack available nationwide!",0,"Fendijncos","budlight",0,2017-09-29 01:43:22,"Fri"
"782"," Best. Day. Ever.",1,"ColeenMurray1","budlight",0,2017-09-29 01:36:22,"Fri"
"783"," Now that's how you do it!",3,"GrahamSpeight","budlight",0,2017-09-29 01:26:22,"Fri"
"784"," They�re looking good so far. <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>",2,"bret_28","budlight",1,2017-09-29 00:58:12,"Fri"
"785"," They�re on <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>.",4,"ryanleduc10_","budlight",1,2017-09-29 00:52:05,"Fri"
"786"," You know it! <ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",2,"behindthemic12","budlight",0,2017-09-29 00:48:00,"Fri"
"787"," We'll cheers to that! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",2,"GrahamSpeight","budlight",0,2017-09-29 00:44:35,"Fri"
"788"," Grab a cold one, they're just getting started. GoPackGo",1,"hsotnayelhsa","budlight",1,2017-09-29 00:37:28,"Fri"
"789"," Make sure to grab a cold one before kick-off. <ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",1,"MyaWill89858167","budlight",0,2017-09-29 00:24:44,"Fri"
"790"," Grab a Bud Light and settle in. This should be a great game. <ed><U+00A0><U+00BC><ed><U+00BF><U+0088>",0,"AL_Vinyl9","budlight",0,2017-09-29 00:17:59,"Fri"
"791"," GoPackGo <ed><U+00A0><U+00BD><ed><U+00B8><U+0089><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"Curvy_Gyal_Tiff","budlight",2,2017-09-29 00:14:44,"Fri"
"792"," We�ll cheers to that! <ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"MiamiJamez","budlight",1,2017-09-29 00:08:36,"Fri"
"793"," It�s gonna be epic. GoBears",8,"CocoMel85","budlight",1,2017-09-29 00:03:25,"Fri"
"794"," We'll drink to that! <ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"jcob_510","budlight",0,2017-09-28 23:55:21,"Thurs"
"795"," All that's missing is an ice cold BL.",1,"whatthechuck99","budlight",0,2017-09-28 23:44:56,"Thurs"
"796"," We're grabbing a cold one and settling in. This should be a great game. <ed><U+00A0><U+00BD><ed><U+00B0><U+00BB><ed><U+00A0><U+00BE><ed><U+00B7><U+0080>",0,"Curvy_Gyal_Tiff","budlight",0,2017-09-28 23:43:55,"Thurs"
"797"," Cheers to the offense being as strong as your selfie game. <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>",1,"AliciaGarceau","budlight",0,2017-09-28 23:42:29,"Thurs"
"798"," Grab a Bud Light and settle in. This should be a great game. <ed><U+00A0><U+00BC><ed><U+00BF><U+0088>",1,"Jrlvr88","budlight",0,2017-09-28 23:38:45,"Thurs"
"799"," Cheers to the offense being as strong as your selfie game. <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"jacobbaum25","budlight",0,2017-09-28 23:27:13,"Thurs"
"800"," It�s gonna be epic!",1,"SoonerChick","budlight",0,2017-09-28 23:16:05,"Thurs"
"801"," We're ready! <ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",0,"Curvy_Gyal_Tiff","budlight",0,2017-09-28 23:13:56,"Thurs"
"802","We just call NationalDrinkBeerDay Thursday. FamousAmongFriends ",90,NA,"budlight",34,2017-09-28 22:30:06,"Thurs"
"803"," Count us in. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA><ed><U+00A0><U+00BC><ed><U+00BC><U+00AD>",0,"JoJoTator","budlight",0,2017-09-28 21:32:19,"Thurs"
"804"," That's what you call a masterpiece. <ed><U+00A0><U+00BD><ed><U+00B1><U+008C> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>",2,"OJrmy","budlight",2,2017-09-28 17:12:52,"Thurs"
"805"," The horror! <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>",0,"benjamindevan21","budlight",0,2017-09-28 16:55:20,"Thurs"
"806"," ",1,"PCPx3","budlight",0,2017-09-27 17:38:51,"Wed"
"807"," You right, you right. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",2,"kingjonbigboote","budlight",0,2017-09-26 20:38:10,"Tues"
"808"," Where ya headed? Hopefully somewhere with Bud Light?!",1,"kingjonbigboote","budlight",0,2017-09-26 20:27:35,"Tues"
"809"," DillyDilly <ed><U+00A0><U+00BD><ed><U+00B8><U+008F><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"vcyrusa","budlight",0,2017-09-26 19:41:25,"Tues"
"810"," Keep us posted. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",1,"kingjonbigboote","budlight",0,2017-09-26 19:37:25,"Tues"
"811","  <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B9><U+008C>",1,"LtypedLoL","budlight",0,2017-09-26 14:27:33,"Tues"
"812"," Nothing's better than a light lager on a summer day.",0,"sandrala46","budlight",0,2017-09-26 14:25:53,"Tues"
"813"," We gotchu. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"kenziesmom2005","budlight",0,2017-09-26 14:23:53,"Tues"
"814"," Noooope.",2,"PumpkinNation","budlight",0,2017-09-26 13:50:10,"Tues"
"815"," Looks like you brought home the W. <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>",1,"JD96ROCK","budlight",0,2017-09-26 13:48:35,"Tues"
"816","  Who ya got?!",2,"Luggnuttzz","budlight",0,2017-09-26 13:47:50,"Tues"
"817"," They've still got this! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+0088>",0,"WriterKristi","budlight",0,2017-09-26 03:04:25,"Tues"
"818"," Grab a Bud Light and settle in. This should be a great game. <ed><U+00A0><U+00BC><ed><U+00BF><U+0088>",0,"lauRiiXX1","budlight",0,2017-09-26 00:58:32,"Tues"
"819"," We�ll cheers to that. <ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"ctw225","budlight",0,2017-09-26 00:51:14,"Tues"
"820"," It�s gonna be epic!",1,"lauriefmiller","budlight",0,2017-09-26 00:22:57,"Tues"
"821"," Make sure to grab a cold one before kick-off! <ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",0,"HypeManHarry","budlight",0,2017-09-25 23:56:36,"Mon"
"822"," <ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",1,"MORTONLB53","budlight",0,2017-09-25 23:48:10,"Mon"
"823"," We like your style! <ed><U+00A0><U+00BC><ed><U+00BF><U+0088> <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"MORTONLB53","budlight",1,2017-09-25 23:36:42,"Mon"
"824"," Same.",1,"KeshBarnhouse","budlight",1,2017-09-25 23:13:20,"Mon"
"825"," Better than you thought, huh?",1,"AnGo550","budlight",0,2017-09-25 23:13:05,"Mon"
"826"," Sounds like paradise. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB><U+2600><U+FE0F>",0,"Molly0614","budlight",0,2017-09-25 23:12:39,"Mon"
"827"," You know we do. <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>",1,"FamousScion","budlight",0,2017-09-25 23:02:53,"Mon"
"828"," Welcome back! <ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",2,"RudyisaGee","budlight",1,2017-09-25 23:02:38,"Mon"
"829"," Make sure you grab a cold one for the game. <ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",0,"Beastin831","budlight",0,2017-09-25 22:51:21,"Mon"
"830"," Now that�s the spirit!",0,"Castle0613","budlight",0,2017-09-25 22:43:13,"Mon"
"831"," You know what's up! <ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",1,"FamousScion","budlight",0,2017-09-25 22:38:12,"Mon"
"832"," Now that's loyalty! Grab an ice-cold Bud Light to cool down before the game. <ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",0,"Castle0613","budlight",0,2017-09-25 22:34:59,"Mon"
"833"," Just in time for the game. Cheers! <ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"FamousScion","budlight",0,2017-09-25 22:30:25,"Mon"
"834"," Make sure to grab a cold one before kick-off. <ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",1,"HeidiZellner","budlight",1,2017-09-25 22:27:11,"Mon"
"835"," It's only available in Canada right now, but we'll let the team know you're a fan!",0,"cole_willard14","budlight",0,2017-09-25 20:43:09,"Mon"
"836"," Still got the last half! <ed><U+00A0><U+00BC><ed><U+00BF><U+0088>",1,"MikeDubsRadio","budlight",0,2017-09-25 01:52:44,"Mon"
"837"," We�ll cheers to that. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"ChrisTheCoolGuy","budlight",0,2017-09-25 01:02:18,"Mon"
"838"," Here�s to a great win! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",3,"AndrewApache_","budlight",1,2017-09-25 00:56:32,"Mon"
"839"," They�re looking good so far.",0,"JoshuaOLeary","budlight",0,2017-09-25 00:45:41,"Mon"
"840"," Grab a Bud Light and settle in. This should be a great game. <ed><U+00A0><U+00BC><ed><U+00BF><U+0088>",0,"SamVH5150","budlight",0,2017-09-25 00:33:53,"Mon"
"841"," We�ll cheers to that.",1,"GMcCorrister","budlight",0,2017-09-25 00:31:43,"Mon"
"842"," It�s gonna be epic.",1,"erinelyzabeth","budlight",0,2017-09-25 00:29:22,"Mon"
"843"," Grab a Bud Light and settle in. This should be a great game. <ed><U+00A0><U+00BC><ed><U+00BF><U+0088>",0,"JeffFaFa101915","budlight",0,2017-09-25 00:23:13,"Mon"
"844"," It�s gonna be epic! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"Black_MambaKB24","budlight",1,2017-09-25 00:12:54,"Mon"
"845"," Right there with you. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA><ed><U+00A0><U+00BC><ed><U+00BF><U+0088>HTTR",10,"Girlskinsfan","budlight",6,2017-09-25 00:10:57,"Mon"
"846"," <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+0088>",1,"ArrickUpton","budlight",0,2017-09-25 00:09:24,"Mon"
"847"," Make sure to grab a cold one before kick-off. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA><ed><U+00A0><U+00BC><ed><U+00BF><U+0088>",1,"twilly2401","budlight",0,2017-09-25 00:06:07,"Mon"
"848"," It�s gonna be epic.",2,"Girlskinsfan","budlight",0,2017-09-25 00:04:19,"Mon"
"849"," Make sure to grab a cold one before kick-off. RaiderNation",1,"BigWink6","budlight",0,2017-09-25 00:02:28,"Mon"
"850"," Here's to an epic OT win! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",0,"LissaL","budlight",0,2017-09-24 23:57:14,"Sun"
"851"," Check out our 36-pack with all of the NFL teams...or take a road trip! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB><ed><U+00A0><U+00BD><ed><U+00B8><U+008F>",1,"CraftyMomsRule","budlight",0,2017-09-24 23:52:05,"Sun"
"852"," Unfortunately, no, because of distribution laws. Check out that 36-pack tho. <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>",0,"Bryan_Hackney","budlight",0,2017-09-24 23:51:33,"Sun"
"853"," <ed><U+00A0><U+00BE><ed><U+00B4><U+00B7><U+200D><U+2642><U+FE0F>",0,"MarkIsOld","budlight",0,2017-09-24 23:50:23,"Sun"
"854"," Here's to an epic OT win. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",1,"VALambeauLeaper","budlight",0,2017-09-24 23:49:58,"Sun"
"855"," Dilly, dilly! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",0,"ECUJoshua","budlight",1,2017-09-24 23:49:48,"Sun"
"856"," It's only Week 3. Plenty of time to turn it around!",8,"cjoness15","budlight",1,2017-09-24 23:48:58,"Sun"
"857"," We'll cheers to that! <ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",0,"__krysxo","budlight",1,2017-09-24 23:48:17,"Sun"
"858"," There's more where that came from!",0,"dickielight","budlight",0,2017-09-24 23:47:53,"Sun"
"859"," You might be onto something. <ed><U+00A0><U+00BE><ed><U+00B4><U+0094>",1,"connordavy","budlight",0,2017-09-24 23:47:24,"Sun"
"860"," There's nothing like an OT win! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",1,"sarah_comber","budlight",0,2017-09-24 23:47:14,"Sun"
"861"," We're ready for an epic game!",0,"TBlackwe85","budlight",0,2017-09-24 23:46:23,"Sun"
"862"," Nothing like an OT win!",1,"iamotto31","budlight",0,2017-09-24 23:46:19,"Sun"
"863"," Nothing like an OT win.",1,"__krysxo","budlight",1,2017-09-24 23:44:51,"Sun"
"864"," That deserves a cold one.<ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",1,"theSTEVIEdSHOW","budlight",0,2017-09-24 23:43:06,"Sun"
"865"," We'll cheers to that! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"IamTHEDiDi","budlight",1,2017-09-24 23:40:44,"Sun"
"866"," Here�s to an epic win. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",1,"LukeMcNulty3","budlight",0,2017-09-24 23:37:44,"Sun"
"867"," We all need a beer vendor guy. <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>",0,"KodieMcClintock","budlight",0,2017-09-24 23:35:18,"Sun"
"868"," This game is keeping us on the edge of our seats!",0,"ProfCyborg1","budlight",0,2017-09-24 23:34:51,"Sun"
"869"," ICE COLD BUD LIGHT HERE!",1,"jayball73","budlight",0,2017-09-24 23:34:33,"Sun"
"870"," Grab a Bud Light and settle in. OT is coming up!",1,"SPBITW9","budlight",0,2017-09-24 23:34:22,"Sun"
"871"," We recently updated the app! After doing that, check out troubleshooting at ",0,"NJ7390","budlight",0,2017-09-24 23:33:02,"Sun"
"872"," This game is keeping us on the edge of our seats!",1,"cgar1812","budlight",0,2017-09-24 23:32:14,"Sun"
"873","  ^What he said",0,"MikeFam71","budlight",0,2017-09-24 23:31:38,"Sun"
"874"," That catch was <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>.",2,"80Driver4life","budlight",1,2017-09-24 23:30:58,"Sun"
"875"," Incredible. We'll cheers to that. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",4,"Cianskiskiolo","budlight",1,2017-09-24 23:29:08,"Sun"
"876"," That was a close call. <ed><U+00A0><U+00BD><ed><U+00B8><U+00B3>",0,"jenniferagreene","budlight",0,2017-09-24 23:28:37,"Sun"
"877"," DillyDilly! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",5,"nanchogroovy","budlight",2,2017-09-24 23:26:31,"Sun"
"878"," Let's do this! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"GregWhited4","budlight",0,2017-09-24 23:25:51,"Sun"
"879"," Gang's all here!",1,"RaiderGrrl","budlight",0,2017-09-24 23:25:36,"Sun"
"880"," Grab a cold one and get ready for an awesome game!",0,"AlbertP50545068","budlight",0,2017-09-24 23:24:06,"Sun"
"881"," This game is INTENSE.",1,"imdatboyyy","budlight",1,2017-09-24 23:24:05,"Sun"
"882"," Check out our NFL 36-pack with all the teams!",0,"the_6o3","budlight",0,2017-09-24 23:23:21,"Sun"
"883"," Keep it up! <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>",0,"stadiumsweep","budlight",0,2017-09-24 23:22:46,"Sun"
"884"," They're beautiful. <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>",0,"Jonatha32656850","budlight",0,2017-09-24 23:22:11,"Sun"
"885"," Make sure you grab a cold one for the game. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA><ed><U+00A0><U+00BC><ed><U+00BF><U+0088>",1,"B23Heels","budlight",0,2017-09-24 23:18:23,"Sun"
"886"," Right there with you. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA><ed><U+00A0><U+00BC><ed><U+00BF><U+0088>",1,"EddieG__","budlight",0,2017-09-24 22:52:18,"Sun"
"887"," It�s gonna be epic! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",0,"jnealis","budlight",1,2017-09-24 22:45:59,"Sun"
"888"," We�ll cheers to that!",1,"jcdickinson32","budlight",1,2017-09-24 22:43:00,"Sun"
"889"," That touchdown deserves a cold one. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",2,"NickMojica89","budlight",1,2017-09-24 22:39:20,"Sun"
"890"," Get a cold one ready for the comeback. <ed><U+00A0><U+00BE><ed><U+00B7><U+0080><ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",1,"iAmDGOOD","budlight",1,2017-09-24 22:17:27,"Sun"
"891"," We�re getting fired up! Touchdown",1,"BigNathan33","budlight",1,2017-09-24 22:14:49,"Sun"
"892"," That deserves a cold one.<ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",0,"tbirdmetz","budlight",0,2017-09-24 22:13:42,"Sun"
"893"," Grab a cold one and get ready for the comeback. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",1,"EdgeZach","budlight",1,2017-09-24 22:09:37,"Sun"
"894"," We'll cheers to that. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",0,"jzoo1977","budlight",0,2017-09-24 22:05:01,"Sun"
"895"," Solid win, let's celebrate!",3,"thebillsblues","budlight",2,2017-09-24 20:08:24,"Sun"
"896"," The only way to do NFL Sunday. <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",3,"CJAldridge","budlight",1,2017-09-24 20:07:39,"Sun"
